Value,Identifier,Housing,Time Period
85.5,MV3D,Public housing R&M,Jan to Mar 2022
88.8,MV3D,Public housing R&M,Apr to Jun 2022
84.2,MV3D,Public housing R&M,Jul to Sep 2022
87.1,MV3D,Public housing R&M,Oct to Dec 2022
93,MV3D,Public housing R&M,Jan to Mar 2023
122.7,MV3D,Public housing R&M,Jan 2010
119,MV3D,Public housing R&M,Feb 2010
111.1,MV3D,Public housing R&M,Mar 2010
116.9,MV3D,Public housing R&M,Apr 2010
120,MV3D,Public housing R&M,May 2010
125,MV3D,Public housing R&M,Jun 2010
118.4,MV3D,Public housing R&M,Jul 2010
116.3,MV3D,Public housing R&M,Aug 2010
115.9,MV3D,Public housing R&M,Sep 2010
115.4,MV3D,Public housing R&M,Oct 2010
113.5,MV3D,Public housing R&M,Nov 2010
114.4,MV3D,Public housing R&M,Dec 2010
101.1,MV3D,Public housing R&M,Jan 2011
112.6,MV3D,Public housing R&M,Feb 2011
114.1,MV3D,Public housing R&M,Mar 2011
110.3,MV3D,Public housing R&M,Apr 2011
106.7,MV3D,Public housing R&M,May 2011
109.6,MV3D,Public housing R&M,Jun 2011
106.3,MV3D,Public housing R&M,Jul 2011
106,MV3D,Public housing R&M,Aug 2011
103.7,MV3D,Public housing R&M,Sep 2011
105.3,MV3D,Public housing R&M,Oct 2011
105.7,MV3D,Public housing R&M,Nov 2011
108,MV3D,Public housing R&M,Dec 2011
106.3,MV3D,Public housing R&M,Jan 2012
107.5,MV3D,Public housing R&M,Feb 2012
106.7,MV3D,Public housing R&M,Mar 2012
106.4,MV3D,Public housing R&M,Apr 2012
114,MV3D,Public housing R&M,May 2012
109.5,MV3D,Public housing R&M,Jun 2012
113.6,MV3D,Public housing R&M,Jul 2012
111.7,MV3D,Public housing R&M,Aug 2012
114,MV3D,Public housing R&M,Sep 2012
112.9,MV3D,Public housing R&M,Oct 2012
113.9,MV3D,Public housing R&M,Nov 2012
110.9,MV3D,Public housing R&M,Dec 2012
107,MV3D,Public housing R&M,Jan 2013
110.1,MV3D,Public housing R&M,Feb 2013
107.6,MV3D,Public housing R&M,Mar 2013
109.8,MV3D,Public housing R&M,Apr 2013
105.3,MV3D,Public housing R&M,May 2013
103,MV3D,Public housing R&M,Jun 2013
100.6,MV3D,Public housing R&M,Jul 2013
109,MV3D,Public housing R&M,Aug 2013
105.7,MV3D,Public housing R&M,Sep 2013
108.9,MV3D,Public housing R&M,Oct 2013
107.2,MV3D,Public housing R&M,Nov 2013
107.6,MV3D,Public housing R&M,Dec 2013
113.4,MV3D,Public housing R&M,Jan 2014
107.2,MV3D,Public housing R&M,Feb 2014
106.8,MV3D,Public housing R&M,Mar 2014
110.8,MV3D,Public housing R&M,Apr 2014
108.7,MV3D,Public housing R&M,May 2014
111.4,MV3D,Public housing R&M,Jun 2014
110.9,MV3D,Public housing R&M,Jul 2014
113.5,MV3D,Public housing R&M,Aug 2014
111.6,MV3D,Public housing R&M,Sep 2014
109.6,MV3D,Public housing R&M,Oct 2014
114,MV3D,Public housing R&M,Nov 2014
109.4,MV3D,Public housing R&M,Dec 2014
112.7,MV3D,Public housing R&M,Jan 2015
111,MV3D,Public housing R&M,Feb 2015
114.4,MV3D,Public housing R&M,Mar 2015
109.5,MV3D,Public housing R&M,Apr 2015
113.7,MV3D,Public housing R&M,May 2015
112.6,MV3D,Public housing R&M,Jun 2015
111.7,MV3D,Public housing R&M,Jul 2015
112,MV3D,Public housing R&M,Aug 2015
115.1,MV3D,Public housing R&M,Sep 2015
110.9,MV3D,Public housing R&M,Oct 2015
109.1,MV3D,Public housing R&M,Nov 2015
109.9,MV3D,Public housing R&M,Dec 2015
111,MV3D,Public housing R&M,Jan 2016
112.8,MV3D,Public housing R&M,Feb 2016
111.2,MV3D,Public housing R&M,Mar 2016
111.2,MV3D,Public housing R&M,Apr 2016
108.5,MV3D,Public housing R&M,May 2016
105.3,MV3D,Public housing R&M,Jun 2016
103.5,MV3D,Public housing R&M,Jul 2016
100.1,MV3D,Public housing R&M,Aug 2016
102.3,MV3D,Public housing R&M,Sep 2016
102.8,MV3D,Public housing R&M,Oct 2016
102.2,MV3D,Public housing R&M,Nov 2016
106.5,MV3D,Public housing R&M,Dec 2016
100.3,MV3D,Public housing R&M,Jan 2017
104,MV3D,Public housing R&M,Feb 2017
105.4,MV3D,Public housing R&M,Mar 2017
105.2,MV3D,Public housing R&M,Apr 2017
103,MV3D,Public housing R&M,May 2017
105.9,MV3D,Public housing R&M,Jun 2017
104.3,MV3D,Public housing R&M,Jul 2017
103.7,MV3D,Public housing R&M,Aug 2017
103.2,MV3D,Public housing R&M,Sep 2017
102.9,MV3D,Public housing R&M,Oct 2017
101.7,MV3D,Public housing R&M,Nov 2017
103.9,MV3D,Public housing R&M,Dec 2017
101.1,MV3D,Public housing R&M,Jan 2018
101,MV3D,Public housing R&M,Feb 2018
99.2,MV3D,Public housing R&M,Mar 2018
99.8,MV3D,Public housing R&M,Apr 2018
99.6,MV3D,Public housing R&M,May 2018
103.8,MV3D,Public housing R&M,Jun 2018
99.5,MV3D,Public housing R&M,Jul 2018
100.3,MV3D,Public housing R&M,Aug 2018
98.6,MV3D,Public housing R&M,Sep 2018
98.3,MV3D,Public housing R&M,Oct 2018
96.5,MV3D,Public housing R&M,Nov 2018
96.7,MV3D,Public housing R&M,Dec 2018
96.3,MV3D,Public housing R&M,Jan 2019
100.4,MV3D,Public housing R&M,Feb 2019
95.7,MV3D,Public housing R&M,Mar 2019
96.5,MV3D,Public housing R&M,Apr 2019
99.6,MV3D,Public housing R&M,May 2019
98.4,MV3D,Public housing R&M,Jun 2019
101.6,MV3D,Public housing R&M,Jul 2019
100.5,MV3D,Public housing R&M,Aug 2019
102.1,MV3D,Public housing R&M,Sep 2019
101.6,MV3D,Public housing R&M,Oct 2019
102.9,MV3D,Public housing R&M,Nov 2019
104.3,MV3D,Public housing R&M,Dec 2019
105.2,MV3D,Public housing R&M,Jan 2020
104.4,MV3D,Public housing R&M,Feb 2020
105.3,MV3D,Public housing R&M,Mar 2020
52,MV3D,Public housing R&M,Apr 2020
49,MV3D,Public housing R&M,May 2020
59.5,MV3D,Public housing R&M,Jun 2020
72.9,MV3D,Public housing R&M,Jul 2020
81.1,MV3D,Public housing R&M,Aug 2020
89.6,MV3D,Public housing R&M,Sep 2020
91.5,MV3D,Public housing R&M,Oct 2020
93.1,MV3D,Public housing R&M,Nov 2020
92.1,MV3D,Public housing R&M,Dec 2020
94.2,MV3D,Public housing R&M,Jan 2021
87.5,MV3D,Public housing R&M,Feb 2021
87.4,MV3D,Public housing R&M,Mar 2021
88.4,MV3D,Public housing R&M,Apr 2021
90.3,MV3D,Public housing R&M,May 2021
85.4,MV3D,Public housing R&M,Jun 2021
87.7,MV3D,Public housing R&M,Jul 2021
85.9,MV3D,Public housing R&M,Aug 2021
86.4,MV3D,Public housing R&M,Sep 2021
88.4,MV3D,Public housing R&M,Oct 2021
87.7,MV3D,Public housing R&M,Nov 2021
84.5,MV3D,Public housing R&M,Dec 2021
84.4,MV3D,Public housing R&M,Jan 2022
85.4,MV3D,Public housing R&M,Feb 2022
86.7,MV3D,Public housing R&M,Mar 2022
86.5,MV3D,Public housing R&M,Apr 2022
90.9,MV3D,Public housing R&M,May 2022
88.9,MV3D,Public housing R&M,Jun 2022
85.6,MV3D,Public housing R&M,Jul 2022
79.9,MV3D,Public housing R&M,Aug 2022
87.2,MV3D,Public housing R&M,Sep 2022
87.7,MV3D,Public housing R&M,Oct 2022
84.8,MV3D,Public housing R&M,Nov 2022
88.7,MV3D,Public housing R&M,Dec 2022
92.3,MV3D,Public housing R&M,Jan 2023
95.3,MV3D,Public housing R&M,Feb 2023
91.4,MV3D,Public housing R&M,Mar 2023
94.8,MV3D,Public housing R&M,Apr 2023
94.9,MV3E,Private housing R&M,1998
93.7,MV3E,Private housing R&M,1999
94.1,MV3E,Private housing R&M,2000
98.3,MV3E,Private housing R&M,2001
106.4,MV3E,Private housing R&M,2002
104,MV3E,Private housing R&M,2003
101,MV3E,Private housing R&M,2004
92,MV3E,Private housing R&M,2005
86.3,MV3E,Private housing R&M,2006
84.1,MV3E,Private housing R&M,2007
85.1,MV3E,Private housing R&M,2008
74.4,MV3E,Private housing R&M,2009
81.4,MV3E,Private housing R&M,2010
81.7,MV3E,Private housing R&M,2011
77,MV3E,Private housing R&M,2012
79.2,MV3E,Private housing R&M,2013
86.1,MV3E,Private housing R&M,2014
88.5,MV3E,Private housing R&M,2015
93.5,MV3E,Private housing R&M,2016
99.7,MV3E,Private housing R&M,2017
99.4,MV3E,Private housing R&M,2018
100,MV3E,Private housing R&M,2019
88.6,MV3E,Private housing R&M,2020
111.5,MV3E,Private housing R&M,2021
125.9,MV3E,Private housing R&M,2022
91.5,MV3E,Private housing R&M,Jan to Mar 1997
87.5,MV3E,Private housing R&M,Apr to June 1997
94.1,MV3E,Private housing R&M,July to Sept 1997
98.8,MV3E,Private housing R&M,Oct to Dec 1997
96,MV3E,Private housing R&M,Jan to Mar 1998
97.3,MV3E,Private housing R&M,Apr to June 1998
93,MV3E,Private housing R&M,July to Sept 1998
93.3,MV3E,Private housing R&M,Oct to Dec 1998
90.6,MV3E,Private housing R&M,Jan to Mar 1999
93.6,MV3E,Private housing R&M,Apr to June 1999
95.3,MV3E,Private housing R&M,July to Sept 1999
95.3,MV3E,Private housing R&M,Oct to Dec 1999
96.6,MV3E,Private housing R&M,Jan to Mar 2000
93.5,MV3E,Private housing R&M,Apr to June 2000
94.4,MV3E,Private housing R&M,July to Sept 2000
92.1,MV3E,Private housing R&M,Oct to Dec 2000
99.7,MV3E,Private housing R&M,Jan to Mar 2001
99.3,MV3E,Private housing R&M,Apr to June 2001
96.9,MV3E,Private housing R&M,July to Sept 2001
97.3,MV3E,Private housing R&M,Oct to Dec 2001
98.7,MV3E,Private housing R&M,Jan to Mar 2002
105,MV3E,Private housing R&M,Apr to June 2002
108.1,MV3E,Private housing R&M,July to Sept 2002
113.9,MV3E,Private housing R&M,Oct to Dec 2002
97.1,MV3E,Private housing R&M,Jan to Mar 2003
107.8,MV3E,Private housing R&M,Apr to June 2003
105.9,MV3E,Private housing R&M,July to Sept 2003
105.1,MV3E,Private housing R&M,Oct to Dec 2003
106.7,MV3E,Private housing R&M,Jan to Mar 2004
98.9,MV3E,Private housing R&M,Apr to June 2004
101.3,MV3E,Private housing R&M,July to Sept 2004
97.1,MV3E,Private housing R&M,Oct to Dec 2004
94.9,MV3E,Private housing R&M,Jan to Mar 2005
92,MV3E,Private housing R&M,Apr to June 2005
91.3,MV3E,Private housing R&M,July to Sept 2005
89.9,MV3E,Private housing R&M,Oct to Dec 2005
89.8,MV3E,Private housing R&M,Jan to Mar 2006
88.3,MV3E,Private housing R&M,Apr to June 2006
84,MV3E,Private housing R&M,July to Sept 2006
83,MV3E,Private housing R&M,Oct to Dec 2006
85,MV3E,Private housing R&M,Jan to Mar 2007
85.8,MV3E,Private housing R&M,Apr to June 2007
81.7,MV3E,Private housing R&M,July to Sept 2007
84,MV3E,Private housing R&M,Oct to Dec 2007
83.7,MV3E,Private housing R&M,Jan to Mar 2008
86.1,MV3E,Private housing R&M,Apr to June 2008
82.5,MV3E,Private housing R&M,July to Sept 2008
88,MV3E,Private housing R&M,Oct to Dec 2008
76.3,MV3E,Private housing R&M,Jan to Mar 2009
73.4,MV3E,Private housing R&M,Apr to June 2009
78.4,MV3E,Private housing R&M,July to Sept 2009
69.3,MV3E,Private housing R&M,Oct to Dec 2009
75.4,MV3E,Private housing R&M,Jan to Mar 2010
80.4,MV3E,Private housing R&M,Apr to June 2010
85.7,MV3E,Private housing R&M,July to Sept 2010
84.1,MV3E,Private housing R&M,Oct to Dec 2010
81.8,MV3E,Private housing R&M,Jan to Mar 2011
81.6,MV3E,Private housing R&M,Apr to June 2011
79.7,MV3E,Private housing R&M,July to Sept 2011
83.6,MV3E,Private housing R&M,Oct to Dec 2011
80.4,MV3E,Private housing R&M,Jan to Mar 2012
77.4,MV3E,Private housing R&M,Apr to June 2012
75.7,MV3E,Private housing R&M,July to Sept 2012
74.4,MV3E,Private housing R&M,Oct to Dec 2012
76.2,MV3E,Private housing R&M,Jan to Mar 2013
78.8,MV3E,Private housing R&M,Apr to June 2013
80.9,MV3E,Private housing R&M,July to Sept 2013
80.9,MV3E,Private housing R&M,Oct to Dec 2013
86.4,MV3E,Private housing R&M,Jan to Mar 2014
86,MV3E,Private housing R&M,Apr to June 2014
87,MV3E,Private housing R&M,July to Sept 2014
84.8,MV3E,Private housing R&M,Oct to Dec 2014
85.5,MV3E,Private housing R&M,Jan to Mar 2015
88.8,MV3E,Private housing R&M,Apr to June 2015
89.5,MV3E,Private housing R&M,July to Sept 2015
90.2,MV3E,Private housing R&M,Oct to Dec 2015
91.7,MV3E,Private housing R&M,Jan to Mar 2016
92.6,MV3E,Private housing R&M,Apr to June 2016
93.7,MV3E,Private housing R&M,July to Sept 2016
95.8,MV3E,Private housing R&M,Oct to Dec 2016
98.2,MV3E,Private housing R&M,Jan to Mar 2017
99.5,MV3E,Private housing R&M,Apr to June 2017
99.9,MV3E,Private housing R&M,July to Sept 2017
101.3,MV3E,Private housing R&M,Oct to Dec 2017
97.8,MV3E,Private housing R&M,Jan to Mar 2018
101.2,MV3E,Private housing R&M,Apr to June 2018
100.2,MV3E,Private housing R&M,July to Sept 2018
98.6,MV3E,Private housing R&M,Oct to Dec 2018
101.7,MV3E,Private housing R&M,Jan to Mar 2019
99.8,MV3E,Private housing R&M,Apr to June 2019
99.7,MV3E,Private housing R&M,July to Sept 2019
98.7,MV3E,Private housing R&M,Oct to Dec 2019
92.7,MV3E,Private housing R&M,Jan to Mar 2020
57.1,MV3E,Private housing R&M,Apr to June 2020
99.5,MV3E,Private housing R&M,July to Sept 2020
105,MV3E,Private housing R&M,Oct to Dec 2020
106.3,MV3E,Private housing R&M,Jan to Mar 2021
108.6,MV3E,Private housing R&M,Apr to June 2021
112,MV3E,Private housing R&M,July to Sept 2021
119.1,MV3E,Private housing R&M,Oct to Dec 2021
124.5,MV3E,Private housing R&M,Jan to Mar 2022
126,MV3E,Private housing R&M,Apr to Jun 2022
127.3,MV3E,Private housing R&M,Jul to Sep 2022
125.9,MV3E,Private housing R&M,Oct to Dec 2022
133.1,MV3E,Private housing R&M,Jan to Mar 2023
74.1,MV3E,Private housing R&M,Jan 2010
77,MV3E,Private housing R&M,Feb 2010
75.2,MV3E,Private housing R&M,Mar 2010
78.4,MV3E,Private housing R&M,Apr 2010
81.5,MV3E,Private housing R&M,May 2010
81.4,MV3E,Private housing R&M,Jun 2010
83.3,MV3E,Private housing R&M,Jul 2010
85.6,MV3E,Private housing R&M,Aug 2010
88.1,MV3E,Private housing R&M,Sep 2010
84.4,MV3E,Private housing R&M,Oct 2010
83.9,MV3E,Private housing R&M,Nov 2010
83.9,MV3E,Private housing R&M,Dec 2010
83.7,MV3E,Private housing R&M,Jan 2011
80.5,MV3E,Private housing R&M,Feb 2011
81.3,MV3E,Private housing R&M,Mar 2011
85,MV3E,Private housing R&M,Apr 2011
79.9,MV3E,Private housing R&M,May 2011
79.8,MV3E,Private housing R&M,Jun 2011
80,MV3E,Private housing R&M,Jul 2011
78.4,MV3E,Private housing R&M,Aug 2011
80.7,MV3E,Private housing R&M,Sep 2011
84.7,MV3E,Private housing R&M,Oct 2011
83.2,MV3E,Private housing R&M,Nov 2011
82.9,MV3E,Private housing R&M,Dec 2011
79.4,MV3E,Private housing R&M,Jan 2012
81.1,MV3E,Private housing R&M,Feb 2012
80.7,MV3E,Private housing R&M,Mar 2012
78.8,MV3E,Private housing R&M,Apr 2012
80.2,MV3E,Private housing R&M,May 2012
73.1,MV3E,Private housing R&M,Jun 2012
80.8,MV3E,Private housing R&M,Jul 2012
74.1,MV3E,Private housing R&M,Aug 2012
72.3,MV3E,Private housing R&M,Sep 2012
73.3,MV3E,Private housing R&M,Oct 2012
74.2,MV3E,Private housing R&M,Nov 2012
75.7,MV3E,Private housing R&M,Dec 2012
75,MV3E,Private housing R&M,Jan 2013
76.5,MV3E,Private housing R&M,Feb 2013
77,MV3E,Private housing R&M,Mar 2013
77.4,MV3E,Private housing R&M,Apr 2013
79.2,MV3E,Private housing R&M,May 2013
79.9,MV3E,Private housing R&M,Jun 2013
79.9,MV3E,Private housing R&M,Jul 2013
81.2,MV3E,Private housing R&M,Aug 2013
81.7,MV3E,Private housing R&M,Sep 2013
81.1,MV3E,Private housing R&M,Oct 2013
82,MV3E,Private housing R&M,Nov 2013
79.5,MV3E,Private housing R&M,Dec 2013
85,MV3E,Private housing R&M,Jan 2014
87.4,MV3E,Private housing R&M,Feb 2014
86.7,MV3E,Private housing R&M,Mar 2014
88.5,MV3E,Private housing R&M,Apr 2014
85.7,MV3E,Private housing R&M,May 2014
83.9,MV3E,Private housing R&M,Jun 2014
85.6,MV3E,Private housing R&M,Jul 2014
89.9,MV3E,Private housing R&M,Aug 2014
85.7,MV3E,Private housing R&M,Sep 2014
85.5,MV3E,Private housing R&M,Oct 2014
84.6,MV3E,Private housing R&M,Nov 2014
84.4,MV3E,Private housing R&M,Dec 2014
84,MV3E,Private housing R&M,Jan 2015
82.6,MV3E,Private housing R&M,Feb 2015
89.9,MV3E,Private housing R&M,Mar 2015
87.9,MV3E,Private housing R&M,Apr 2015
89,MV3E,Private housing R&M,May 2015
89.5,MV3E,Private housing R&M,Jun 2015
89.2,MV3E,Private housing R&M,Jul 2015
88.8,MV3E,Private housing R&M,Aug 2015
90.5,MV3E,Private housing R&M,Sep 2015
91.3,MV3E,Private housing R&M,Oct 2015
90.5,MV3E,Private housing R&M,Nov 2015
88.8,MV3E,Private housing R&M,Dec 2015
91.8,MV3E,Private housing R&M,Jan 2016
91.2,MV3E,Private housing R&M,Feb 2016
92.2,MV3E,Private housing R&M,Mar 2016
93.8,MV3E,Private housing R&M,Apr 2016
91.3,MV3E,Private housing R&M,May 2016
92.7,MV3E,Private housing R&M,Jun 2016
93.3,MV3E,Private housing R&M,Jul 2016
92.1,MV3E,Private housing R&M,Aug 2016
95.8,MV3E,Private housing R&M,Sep 2016
91.4,MV3E,Private housing R&M,Oct 2016
96.5,MV3E,Private housing R&M,Nov 2016
99.6,MV3E,Private housing R&M,Dec 2016
99,MV3E,Private housing R&M,Jan 2017
97.6,MV3E,Private housing R&M,Feb 2017
97.9,MV3E,Private housing R&M,Mar 2017
100.7,MV3E,Private housing R&M,Apr 2017
99.9,MV3E,Private housing R&M,May 2017
97.9,MV3E,Private housing R&M,Jun 2017
99.6,MV3E,Private housing R&M,Jul 2017
101.3,MV3E,Private housing R&M,Aug 2017
99,MV3E,Private housing R&M,Sep 2017
101.1,MV3E,Private housing R&M,Oct 2017
103.2,MV3E,Private housing R&M,Nov 2017
99.5,MV3E,Private housing R&M,Dec 2017
97.5,MV3E,Private housing R&M,Jan 2018
98.1,MV3E,Private housing R&M,Feb 2018
97.9,MV3E,Private housing R&M,Mar 2018
98.8,MV3E,Private housing R&M,Apr 2018
103.2,MV3E,Private housing R&M,May 2018
101.5,MV3E,Private housing R&M,Jun 2018
102,MV3E,Private housing R&M,Jul 2018
100.1,MV3E,Private housing R&M,Aug 2018
98.4,MV3E,Private housing R&M,Sep 2018
98.1,MV3E,Private housing R&M,Oct 2018
100.5,MV3E,Private housing R&M,Nov 2018
97.1,MV3E,Private housing R&M,Dec 2018
100.5,MV3E,Private housing R&M,Jan 2019
103,MV3E,Private housing R&M,Feb 2019
101.6,MV3E,Private housing R&M,Mar 2019
99.6,MV3E,Private housing R&M,Apr 2019
100.3,MV3E,Private housing R&M,May 2019
99.7,MV3E,Private housing R&M,Jun 2019
99.8,MV3E,Private housing R&M,Jul 2019
100.3,MV3E,Private housing R&M,Aug 2019
99.1,MV3E,Private housing R&M,Sep 2019
99.2,MV3E,Private housing R&M,Oct 2019
99.8,MV3E,Private housing R&M,Nov 2019
97.2,MV3E,Private housing R&M,Dec 2019
92.3,MV3E,Private housing R&M,Jan 2020
94,MV3E,Private housing R&M,Feb 2020
91.9,MV3E,Private housing R&M,Mar 2020
47.8,MV3E,Private housing R&M,Apr 2020
48.7,MV3E,Private housing R&M,May 2020
74.8,MV3E,Private housing R&M,Jun 2020
94.2,MV3E,Private housing R&M,Jul 2020
100,MV3E,Private housing R&M,Aug 2020
104.3,MV3E,Private housing R&M,Sep 2020
108.6,MV3E,Private housing R&M,Oct 2020
103,MV3E,Private housing R&M,Nov 2020
103.5,MV3E,Private housing R&M,Dec 2020
98,MV3E,Private housing R&M,Jan 2021
107.3,MV3E,Private housing R&M,Feb 2021
113.5,MV3E,Private housing R&M,Mar 2021
108.8,MV3E,Private housing R&M,Apr 2021
108.7,MV3E,Private housing R&M,May 2021
108.4,MV3E,Private housing R&M,Jun 2021
107.1,MV3E,Private housing R&M,Jul 2021
112.7,MV3E,Private housing R&M,Aug 2021
116.3,MV3E,Private housing R&M,Sep 2021
118.2,MV3E,Private housing R&M,Oct 2021
118.5,MV3E,Private housing R&M,Nov 2021
120.8,MV3E,Private housing R&M,Dec 2021
121.8,MV3E,Private housing R&M,Jan 2022
121.6,MV3E,Private housing R&M,Feb 2022
130.3,MV3E,Private housing R&M,Mar 2022
123.9,MV3E,Private housing R&M,Apr 2022
128.4,MV3E,Private housing R&M,May 2022
125.5,MV3E,Private housing R&M,Jun 2022
127.1,MV3E,Private housing R&M,Jul 2022
128.1,MV3E,Private housing R&M,Aug 2022
126.7,MV3E,Private housing R&M,Sep 2022
128.3,MV3E,Private housing R&M,Oct 2022
128,MV3E,Private housing R&M,Nov 2022
121.4,MV3E,Private housing R&M,Dec 2022
126.5,MV3E,Private housing R&M,Jan 2023
135.3,MV3E,Private housing R&M,Feb 2023
137.5,MV3E,Private housing R&M,Mar 2023
129.7,MV3E,Private housing R&M,Apr 2023
100.3,MV3F,Total housing R&M,1998
97.9,MV3F,Total housing R&M,1999
96.9,MV3F,Total housing R&M,2000
97.6,MV3F,Total housing R&M,2001
100.9,MV3F,Total housing R&M,2002
103.6,MV3F,Total housing R&M,2003
105.1,MV3F,Total housing R&M,2004
98.8,MV3F,Total housing R&M,2005
93.3,MV3F,Total housing R&M,2006
90.1,MV3F,Total housing R&M,2007
91.6,MV3F,Total housing R&M,2008
83.1,MV3F,Total housing R&M,2009
90.9,MV3F,Total housing R&M,2010
88.5,MV3F,Total housing R&M,2011
85.8,MV3F,Total housing R&M,2012
86.5,MV3F,Total housing R&M,2013
92.5,MV3F,Total housing R&M,2014
94.7,MV3F,Total housing R&M,2015
96.9,MV3F,Total housing R&M,2016
100.8,MV3F,Total housing R&M,2017
99.5,MV3F,Total housing R&M,2018
100,MV3F,Total housing R&M,2019
87.1,MV3F,Total housing R&M,2020
105.3,MV3F,Total housing R&M,2021
115.5,MV3F,Total housing R&M,2022
100.9,MV3F,Total housing R&M,Jan to Mar 1997
100.4,MV3F,Total housing R&M,Apr to June 1997
101.4,MV3F,Total housing R&M,July to Sept 1997
104.4,MV3F,Total housing R&M,Oct to Dec 1997
102.7,MV3F,Total housing R&M,Jan to Mar 1998
99.8,MV3F,Total housing R&M,Apr to June 1998
98.6,MV3F,Total housing R&M,July to Sept 1998
100,MV3F,Total housing R&M,Oct to Dec 1998
95.7,MV3F,Total housing R&M,Jan to Mar 1999
97.9,MV3F,Total housing R&M,Apr to June 1999
99.3,MV3F,Total housing R&M,July to Sept 1999
98.7,MV3F,Total housing R&M,Oct to Dec 1999
100.9,MV3F,Total housing R&M,Jan to Mar 2000
97.8,MV3F,Total housing R&M,Apr to June 2000
96.4,MV3F,Total housing R&M,July to Sept 2000
92.8,MV3F,Total housing R&M,Oct to Dec 2000
98.7,MV3F,Total housing R&M,Jan to Mar 2001
98.9,MV3F,Total housing R&M,Apr to June 2001
95.8,MV3F,Total housing R&M,July to Sept 2001
97,MV3F,Total housing R&M,Oct to Dec 2001
96.5,MV3F,Total housing R&M,Jan to Mar 2002
99.7,MV3F,Total housing R&M,Apr to June 2002
101.2,MV3F,Total housing R&M,July to Sept 2002
106.1,MV3F,Total housing R&M,Oct to Dec 2002
94.9,MV3F,Total housing R&M,Jan to Mar 2003
105.5,MV3F,Total housing R&M,Apr to June 2003
108,MV3F,Total housing R&M,July to Sept 2003
106.1,MV3F,Total housing R&M,Oct to Dec 2003
109.8,MV3F,Total housing R&M,Jan to Mar 2004
103.4,MV3F,Total housing R&M,Apr to June 2004
104.3,MV3F,Total housing R&M,July to Sept 2004
102.9,MV3F,Total housing R&M,Oct to Dec 2004
102.9,MV3F,Total housing R&M,Jan to Mar 2005
100.8,MV3F,Total housing R&M,Apr to June 2005
96.4,MV3F,Total housing R&M,July to Sept 2005
95,MV3F,Total housing R&M,Oct to Dec 2005
95.1,MV3F,Total housing R&M,Jan to Mar 2006
93.8,MV3F,Total housing R&M,Apr to June 2006
92.8,MV3F,Total housing R&M,July to Sept 2006
91.5,MV3F,Total housing R&M,Oct to Dec 2006
92.7,MV3F,Total housing R&M,Jan to Mar 2007
90.8,MV3F,Total housing R&M,Apr to June 2007
86.9,MV3F,Total housing R&M,July to Sept 2007
89.8,MV3F,Total housing R&M,Oct to Dec 2007
89.7,MV3F,Total housing R&M,Jan to Mar 2008
93.4,MV3F,Total housing R&M,Apr to June 2008
90.1,MV3F,Total housing R&M,July to Sept 2008
93.3,MV3F,Total housing R&M,Oct to Dec 2008
82.9,MV3F,Total housing R&M,Jan to Mar 2009
82,MV3F,Total housing R&M,Apr to June 2009
87.7,MV3F,Total housing R&M,July to Sept 2009
79.8,MV3F,Total housing R&M,Oct to Dec 2009
86.5,MV3F,Total housing R&M,Jan to Mar 2010
91,MV3F,Total housing R&M,Apr to June 2010
93.9,MV3F,Total housing R&M,July to Sept 2010
92.1,MV3F,Total housing R&M,Oct to Dec 2010
89.1,MV3F,Total housing R&M,Jan to Mar 2011
88.8,MV3F,Total housing R&M,Apr to June 2011
86.4,MV3F,Total housing R&M,July to Sept 2011
89.6,MV3F,Total housing R&M,Oct to Dec 2011
87.4,MV3F,Total housing R&M,Jan to Mar 2012
86,MV3F,Total housing R&M,Apr to June 2012
85.6,MV3F,Total housing R&M,July to Sept 2012
84.4,MV3F,Total housing R&M,Oct to Dec 2012
84.6,MV3F,Total housing R&M,Jan to Mar 2013
86,MV3F,Total housing R&M,Apr to June 2013
87.3,MV3F,Total housing R&M,July to Sept 2013
88,MV3F,Total housing R&M,Oct to Dec 2013
92.4,MV3F,Total housing R&M,Jan to Mar 2014
92.4,MV3F,Total housing R&M,Apr to June 2014
93.6,MV3F,Total housing R&M,July to Sept 2014
91.7,MV3F,Total housing R&M,Oct to Dec 2014
92.7,MV3F,Total housing R&M,Jan to Mar 2015
94.9,MV3F,Total housing R&M,Apr to June 2015
95.7,MV3F,Total housing R&M,July to Sept 2015
95.4,MV3F,Total housing R&M,Oct to Dec 2015
97,MV3F,Total housing R&M,Jan to Mar 2016
96.8,MV3F,Total housing R&M,Apr to June 2016
95.9,MV3F,Total housing R&M,July to Sept 2016
97.9,MV3F,Total housing R&M,Oct to Dec 2016
99.5,MV3F,Total housing R&M,Jan to Mar 2017
100.9,MV3F,Total housing R&M,Apr to June 2017
100.9,MV3F,Total housing R&M,July to Sept 2017
101.7,MV3F,Total housing R&M,Oct to Dec 2017
98.5,MV3F,Total housing R&M,Jan to Mar 2018
101.1,MV3F,Total housing R&M,Apr to June 2018
100,MV3F,Total housing R&M,July to Sept 2018
98.2,MV3F,Total housing R&M,Oct to Dec 2018
100.6,MV3F,Total housing R&M,Jan to Mar 2019
99.4,MV3F,Total housing R&M,Apr to June 2019
100.2,MV3F,Total housing R&M,July to Sept 2019
99.8,MV3F,Total housing R&M,Oct to Dec 2019
96,MV3F,Total housing R&M,Jan to Mar 2020
